,Stock Name,Number of Feartures Selected,Train R^2,Train Correlation,Train MAE,Train Directional Accuracy,Test R^2,Test Correlation,Test MAE,Test Directional Accuracy,EBITDA,2 EARN_FOR_COMMON,Management - Balancesheet Net Debt To Equity - Average,Management - Capital Discipline  Avg ( delta Earn For Common/delta Capital Employed),Strategy Filter EBITDA CAGR, Debt To Equity Avg,Nasdaq Composite CCMP Index Last Price,Topix Japan TPX Index Last Price,Japan OEJPDGBO Index Last Price,China CNMSM2 Index Last Price,1D Japanese Yen USDJPY Curncy Last Price,1D Swiss Franc USDCHF Curncy Last Price,1D Indian Rupee USDINR Curncy Last Price,1D Crude Palm Oil KO3 Comdty Last Price,1D Hibor HIHD03M Index Last Price,1D ECB ECMSM2 Index Last Price,1D S&P 500 SPX Index BEst EPS,1D S&P500 SPX Index BEst P/E Ratio,1D  SHASHR Index PE_RATIO,1D  SHASHR Index PX_TO_SALES_RATIO,1D  SPX Index PX_TO_SALES_RATIO,2D EU EUCCEMU Index Last Price,2D China CNCPIYOY Index Last Price,2D Swiss Franc USDCHF Curncy Last Price,2D Hong Kong China enterprises index HSCEI Index Last Price,2D Korea KOSPI Index Last Price,2D Germany Govt 10yr bond yield GDBR10 Index Last Price,2D US M2 Index Last Price,2D S&P 500 SPX Index Index Est Earnings Next Year,2D S&P500 SPX Index BEst P/E Ratio,2D  SHASHR Index PE_RATIO,2D  SHASHR Index PX_TO_BOOK_RATIO,2D  SPX Index PX_LAST,2D  SPX Index IDX_EST_EARNINGS_NXT_YR
20,GE UN Equity,6,0.6115957889754927,0.7820458995324333,0.035533277699362334,73.46938775510205,-0.14937760647089648,0.3467214366340696,0.048023446530343655,64.28571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01708675444954186,0.0,0.038857423848597646,0.04809746394396677,0.013338566201001423,0.0,-0.012452751791984115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028892251791814247,0.0
21,HD UN Equity,4,0.49931359485022,0.7066212527586614,0.05337943838695892,67.0,0.08731610913568133,0.5164080214730342,0.05834659316497454,63.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019834938662411695,0.0,0.0346377975619586,0.06125945576853657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027488269502377236,0.0
22,HON UN Equity,3,0.43062844754681817,0.6562228642365476,0.060863907104752195,72.3404255319149,0.2980342118209417,0.5694605048314055,0.06426295957020368,75.60975609756098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03599182487784505,0.07090872308734437,0.0,0.0,-0.04221169172879759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,IBM UN Equity,3,0.3689017892403156,0.6073728584982342,0.0519993982493804,69.6078431372549,0.43619956678553196,0.6618853248738105,0.05118685879703149,70.45454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024813231787015708,0.0581257598958077,-0.012194241929238509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,INTC UW Equity,4,0.31838243256928844,0.5642538724450974,0.08191189686657102,64.0,0.40581635599445354,0.6596946290256788,0.0728189832107541,88.63636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041642538019121794,0.08202107598133333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0313110695150913,0.02839617916700468,0.0,0.0
25,JNJ UN Equity,1,0.09228351584986072,0.30378202028734513,0.04541012828365442,60.78431372549019,0.13319257034538523,0.36799617995104644,0.035593708549162245,64.44444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018339902746120785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,KO UN Equity,1,0.13097694592030495,0.3619073720170743,0.05032666283300536,64.21052631578948,0.15156697333564007,0.38961379091106285,0.05289839227278054,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02627474825415967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,LLY UN Equity,1,0.05723955234476297,0.2392478889034617,0.05214289494447896,54.54545454545454,0.07328504702469296,0.4719910521032657,0.06981332429630155,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014010559427366278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,LOW UN Equity,4,0.32732276890036227,0.5721212886271246,0.06669456729415055,67.64705882352942,0.19482948918631116,0.4654338362800142,0.06498459977592928,77.77777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.044263135255969845,0.0,0.0,0.0,0.0,0.021200813672915424,0.0,0.0,0.04990185971084424,-0.0199364127024948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,MCD UN Equity,1,0.2068333335914424,0.4547893288011964,0.05507387179420154,67.3469387755102,0.15355525031871486,0.4690462015790146,0.04991831563383453,69.04761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035206981200726156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
